奇异博士 Doctor Strange,7.6,斯科特·德瑞克森,本尼迪克特·康伯巴奇 / 蒂尔达·斯文顿 / 麦斯·米科尔森,动作 / 奇幻 / 冒险,美国,2016,75152,2016年11月4日,进口分账
神秘巨星 Secret Superstar,7.8,阿德瓦·香登,塞伊拉·沃西 / 梅·维贾 / 阿米尔·汗,剧情 / 音乐,印度,2017,74663,2018年1月19日,进口分账
雷神3：诸神黄昏 Thor: Ragnarok,7.5,塔伊加·维迪提,克里斯·海姆斯沃斯 / 汤姆·希德勒斯顿 / 凯特·布兰切特,动作 / 奇幻 / 冒险,美国,2017,74371,2017年11月03日,进口分账
天将雄师,5.9,李仁港,成龙 / 约翰·库萨克 / 艾德里安·布洛迪,动作 / 战争 / 古装,中国大陆/香港,2015,74355,2015年2月19日,国产（合拍）
猩球崛起3：终极之战 War for the Planet of the Apes,6.9,马特·里夫斯,安迪·瑟金斯 / 伍迪·哈里森 / 史蒂夫·茨恩,剧情 / 动作 / 科幻,美国,2017,73978,2017年09月15日,进口分账
金刚狼3：殊死一战 Logan,8.3,詹姆斯·曼高德,休·杰克曼 / 帕特里克·斯图尔特 / 达芙妮·基恩,剧情 / 动作 / 科幻,美国,2017,73164,2017年03月03日,进口分账
西游记女儿国,4.5,郑保瑞,郭富城 / 冯绍峰 / 赵丽颖,喜剧 / 爱情 / 奇幻,中国大陆/香港,2018,72721,2018年2月16日,国产（合拍）
X战警：逆转未来 X-Men: Days of Future Past,8.2,布莱恩·辛格,休·杰克曼 / 詹姆斯·麦卡沃伊 / 迈克尔·法斯宾德,动作 / 科幻 / 冒险,美国/英国,2014,72468,2014年5月23日,进口分账
超时空同居,7.2,苏伦,雷佳音 / 佟丽娅 / 张衣,喜剧 / 奇幻,中国大陆,2018,72382,2018年5月18日,国产（上映中……）
美国队长2 Captain America: The Winter Soldier,7.9,安东尼·罗素 / 乔·罗素,克里斯·埃文斯 / 斯嘉丽·约翰逊 / 塞巴斯蒂安·斯坦,动作 / 科幻 / 冒险,美国,2014,72165,2014年4月4日,进口分账
致我们终将逝去的青春,6.6,赵薇,杨子姗 / 赵又廷 / 韩庚,剧情 / 爱情,中国大陆,2013,71902,2013年4月26日,国产
私人订制,5.6,冯小刚,葛优 / 白百何 / 李小璐,喜剧,中国大陆,2013,71680,2013年12月18日22点,国产
终结者：创世纪 Terminator Genisys,6.9,阿兰·泰勒,阿诺·施瓦辛格 / 杰森·克拉克 / 艾米莉亚·克拉克,动作 / 科幻 / 冒险,美国,2015,70928,2015年8月23日,进口分账
猩球崛起2：黎明之战 Dawn of the Planet of the Apes,7.5,马特·里夫斯,安迪·瑟金斯 / 杰森·克拉克 / 加里·奥德曼,剧情 / 动作 / 科幻,美国,2014,70558,2014年8月29日,进口分账
画皮2 畫皮Ⅱ,5.9,乌尔善,周迅 / 赵薇 / 陈坤,剧情 / 爱情 / 奇幻 / 惊悚,中国大陆/香港,2012,70316,2012年6月28日,国产
狼图腾,6.9,让-雅克·阿诺,冯绍峰 / 窦骁 / 昂哈妮玛,剧情 / 冒险,中国大陆/法国,2015,69942,2015年2月19日（2月13日18点起点映）,国产（合拍）
铁道飞虎,5.3,丁晟,成龙 / 黄子韬 / 王凯,喜剧 / 动作,中国大陆,2016,69906,2016年12月23日,国产
悟空传,5.1,郭子健,彭于晏 / 倪妮 / 余文乐,剧情 / 动作 / 奇幻,中国大陆,2017,69660,2017年07月13日,国产
爸爸去哪儿,6.0,谢涤葵 / 林妍,林志颖 / 小小志 / 王岳伦,儿童 / 喜剧 / 家庭,中国大陆,2014,69590,2014年1月31日,国产
环太平洋 Pacific Rim,7.6,吉尔莫·德尔·托罗,查理·汉纳姆 / 菊地凛子 / 伊德里斯·艾尔巴,动作 / 科幻 / 冒险,美国,2013,69583,2013年7月31日,进口分账
正义联盟 Justice League,6.6,扎克·施奈德,本·阿弗莱克 / 亨利·卡维尔 / 盖尔·加朵,动作 / 科幻 / 奇幻 / 冒险,美国,2017,69052,2017年11月17日,进口分账
银河护卫队2 Guardians of the Galaxy Vol. 2,8.1,詹姆斯·古恩,克里斯·帕拉特 / 佐伊·索尔达娜 / 戴夫·巴蒂斯塔,动作 / 科幻 / 冒险,美国,2017,68615,2017年05月05日,进口分账
九层妖塔,4.2,陆川,赵又廷 / 姚晨 / 凤小岳,动作 / 惊悚 / 冒险,中国大陆,2015,68152,2015年9月30日,国产
寒战2 寒戰II,6.9,梁乐民 / 陆剑青,郭富城 / 梁家辉 / 杨采妮,剧情 / 动作 / 犯罪,中国大陆/香港,2016,67866,2016年7月8日,国产（合拍）
碟中谍4 Mission: Impossible - Ghost Protocol,8.2,布拉德·伯德,汤姆·克鲁斯 / 杰瑞米·雷纳 / 西蒙·佩吉,动作 / 惊悚 / 冒险,美国,2011,67471,2012年1月28日,进口分账
唐山大地震,7.5,冯小刚,徐帆 / 张静初 / 李晨,剧情 / 历史 / 灾难,中国大陆/香港,2010,67332,2010年7月22日,国产（合拍）
分手大师,5.0,俞白眉 / 邓超,邓超 / 杨幂 / 古力娜扎,喜剧 / 爱情,中国大陆,2014,66666,2014年6月26日（18点）,国产
黑豹 Black Panther,6.6,瑞恩·库格勒,查德维克·博斯曼 / 露皮塔·尼永奥 / 迈克尔·B·乔丹,动作 / 科幻 / 冒险,美国,2018,66226,2018年3月9日,进口分账
蚁人 Ant-Man,7.6,佩顿·里德,保罗·路德 / 迈克尔·道格拉斯 / 伊万杰琳·莉莉,动作 / 科幻 / 冒险,美国,2015,65970,2015年10月16日,进口分账
